Chapter,Percentage
General Organic Chemistry (GOC) +,6
Coordination Chemistry +,6
Chemical Bonding +,4
Amines,4
d & f block +,4
Atomic Structure +,4
Hydrocarbons,4
Solution and Colligative Properties,4
Thermodynamics (c) +,4
Alcohol Phenol Ether,4
Mole Concept +,3
Chemical Kinetics +,3
Biomolecules,3
Electrochemistry +,3
Aldehyde and ketones,3
Periodic table ++,2
Haloalkanes and Haloarenes,2
Redox Reaction,2
Ionic Equilibrium,2
Chemical Equilibrium,2
Carboxylic Acid and their Derivatives,1
Nuclear Chemistry and Environment,8
Practical chemistry,1
